system@FIX9P.WORLD> /

                                     Total        Used        Free                             
                                     Space       Space       Space  % Free                     
PI_ACTREPI_80                      1300.00     1100.00      100.00    7.69                     
P_ACTREP_44                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_43                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_42                        1300.00     1100.00      100.00    7.69                     
PI_OPFACT_61                       1300.00     1100.00      100.00    7.69                     
PI_OPFACT_60                       1300.00     1100.00      100.00    7.69                     
PI_OPFACT_59                       1300.00     1100.00      100.00    7.69                     
PI_OPFACT_56                       1300.00     1100.00      100.00    7.69                     
PI_OPFACT_31                       1300.00     1000.00      100.00    7.69                     
PI_OPFACT_30                       1300.00     1000.00      100.00    7.69                     
P_ACTREP_91                        2600.00     2300.00      200.00    7.69                     
P_ACTREP_90                        2600.00     2300.00      200.00    7.69                     
P_ACTREP_89                        2600.00     2300.00      200.00    7.69                     
P_ACTREP_88                        2600.00     2300.00      200.00    7.69                     
P_ACTREP_87                        2600.00     2300.00      200.00    7.69                     
P_ACTREP_83                        2600.00     2300.00      200.00    7.69                     
P_ACTREP_80                        2600.00     2200.00      200.00    7.69                     
P_ACTREP_79                        2600.00     2200.00      200.00    7.69                     
P_ACTREP_77                        2600.00     2200.00      200.00    7.69                     
P_ACTREP_76                        2600.00     2200.00      200.00    7.69                     
P_ACTREP_75                        2600.00     2200.00      200.00    7.69                     
P_ACTREP_74                        2600.00     2200.00      200.00    7.69                     
P_ACTREP_53                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_52                        1300.00     1100.00      100.00    7.69                     

                                     Total        Used        Free                             
                                     Space       Space       Space  % Free                     
Tablespace Name                    (in MB)     (in MB)     (in MB)   Space                     
------------------------------ ----------- ----------- ----------- -------                     
P_ACTREP_51                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_50                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_49                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_48                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_47                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_46                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_45                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_57                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_56                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_55                        1300.00     1100.00      100.00    7.69                     
P_ACTREP_54                        1300.00     1100.00      100.00    7.69                     
PI_ACTREPI_79                      1300.00     1100.00      100.00    7.69                     
PI_ACTREPI_75                      1300.00     1100.00      100.00    7.69                     
PI_ACTREPI_78                      1300.00     1100.00      100.00    7.69                     
PI_ACTREPI_74                      1300.00     1100.00      100.00    7.69                     
P_WH_SUP_EST_69                     130.00      120.00        9.94    7.64                     
P_WH_SUP_EST_70                     130.00      120.00        9.94    7.64                     
PI_ACTREPI_61                      1000.00      900.00       75.00    7.50                     
PI_ACTREPI_63                      1000.00      900.00       75.00    7.50                     
PI_ACTREPI_65                      1000.00      900.00       75.00    7.50                     
PI_ACTREPI_67                      1000.00      900.00       75.00    7.50                     
PI_ACTREPI_72                      1000.00      900.00       75.00    7.50                     
PI_ACTREPI_68                      1000.00      900.00       75.00    7.50                     
PI_ACTREPI_66                      1000.00      900.00       75.00    7.50                     
PI_ACTREPI_64                      1000.00      900.00       75.00    7.50                     
P_STG_SUP_EST_59                    200.00      185.00       14.94    7.47                     
P_ACTREP_60                        2700.00     2200.00      200.00    7.41                     
P_ACTREP_61                        2700.00     2200.00      200.00    7.41                     
P_ACTREP_69                        2700.00     2300.00      200.00    7.41                     
PI_ACTREPI_01                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_02                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_03                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_04                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_05                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_06                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_18                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_17                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_16                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_15                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_14                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_13                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_12                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_11                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_07                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_08                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_09                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_10                       340.00      300.00       25.00    7.35                     
PI_ACTREPI_19                       350.00      300.00       25.00    7.14                     
PI_ACTREPI_24                       350.00      300.00       25.00    7.14                     
PI_ACTREPI_25                       350.00      300.00       25.00    7.14                     
PI_OPFACT_51                       1400.00     1200.00      100.00    7.14                     
P_ACTREP_67                        2800.00     2300.00      200.00    7.14                     
P_ACTREP_66                        2800.00     2300.00      200.00    7.14                     
P_ACTREP_65                        2800.00     2300.00      200.00    7.14                     
P_ACTREP_64                        2800.00     2300.00      200.00    7.14                     
P_ACTREP_63                        2800.00     2300.00      200.00    7.14                     
P_ACTREP_58                        1400.00     1200.00      100.00    7.14                     
PI_OPFACT_66                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_65                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_64                       1400.00     1200.00      100.00    7.14                     
P_ACTREP_68                        2800.00     2300.00      200.00    7.14                     
PI_OPFACT_63                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_62                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_58                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_57                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_55                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_54                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_53                       1400.00     1200.00      100.00    7.14                     
PI_OPFACT_52                       1400.00     1200.00      100.00    7.14                     
PI_ACTREPI_23                       350.00      300.00       25.00    7.14                     
PI_ACTREPI_20                       350.00      300.00       25.00    7.14                     
PI_ACTREPI_21                       350.00      300.00       25.00    7.14                     
PI_ACTREPI_22                       350.00      300.00       25.00    7.14                     
P_STG_SUP_EST_65                    260.00      242.00       17.94    6.90                     
P_ACTREP_78                        2900.00     2500.00      200.00    6.90                     
PI_OPFACT_25                       1500.00     1300.00      100.00    6.67                     
P_ACTREP_92                        2500.00     2346.00      153.94    6.16                     
P_ACTREP_99                        2500.00     2346.00      153.94    6.16                     
P_ACTREP_98                        2500.00     2346.00      153.94    6.16                     
P_ACTREP_93                        2500.00     2346.00      153.94    6.16                     
P_ACTREP_95                        2500.00     2346.00      153.94    6.16                     
P_ACTREP_96                        2500.00     2346.00      153.94    6.16                     
P_ACTREP_97                        2500.00     2346.00      153.94    6.16                     
P_ACTREP_94                        2500.00     2346.00      153.94    6.16                     
P_ACTREP_85                        3300.00     2900.00      200.00    6.06                     
P_STG_SUP_EST_67                    250.00      235.00       14.94    5.98                     
PI_ACTREPI_100                      650.00      612.00       37.94    5.84                     
P_STG_SUP_EST_55                    370.00      350.00       19.94    5.39                     
P_STG_SUP_EST_66                    340.00      322.00       17.94    5.28                     
PI_ACTREPI_62                      1000.00      925.00       50.00    5.00                     
P_ACTREP_101                       4800.00     4604.00      195.94    4.08                     
P_ACTREP_81                        2500.00     2300.00      100.00    4.00                     
P_ACTREP_82                        2500.00     2300.00      100.00    4.00                     
P_ACTREP_84                        2600.00     2300.00      100.00    3.85                     
P_ACTREP_62                        2700.00     2300.00      100.00    3.70                     
P_ACTREP_86                        3000.00     2800.00      100.00    3.33                     

556 rows selected.

system@FIX9P.WORLD> spool off
